,date,Ranking range,count,Share
0,2022-03-07,11-20,53963,41.51%
1,2022-03-07,4-10,50959,39.2%
2,2022-03-07,Sup top 20,18312,14.09%
3,2022-03-07,top 3,6766,5.2%
4,2022-05-30,11-20,53261,40.97%
5,2022-05-30,4-10,63819,49.09%
6,2022-05-30,Sup top 20,1273,0.98%
7,2022-05-30,top 3,11647,8.96%
8,2022-06-13,11-20,45860,35.28%
9,2022-06-13,4-10,70696,54.38%
10,2022-06-13,Sup top 20,108,0.08%
11,2022-06-13,top 3,13336,10.26%
12,2022-06-20,11-20,47057,36.2%
13,2022-06-20,4-10,69485,53.45%
14,2022-06-20,Sup top 20,113,0.09%
15,2022-06-20,top 3,13345,10.27%
